add,2021-04-25 00:01:19,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:01:19,TableSpecialization,Add FILO in list
add,2021-04-25 00:01:19,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:01:19,TableSpecialization,Done
Refresh,2021-04-25 00:01:19,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:01:19,TableStudents,Done refresh list
add,2021-04-25 00:01:19,TableSpecialization,Add MATEMATICA in list
add,2021-04-25 00:01:19,TableSpecialization,Add ROMANA in list
add,2021-04-25 00:01:19,TableSpecialization,Add ISTORIE in list
add,2021-04-25 00:01:19,TableSpecialization,Add GEOGRAFIE in list
add,2021-04-25 00:01:19,TableSpecialization,Add SOCIOLOGIE in list
Refresh,2021-04-25 00:01:19,TableCourseType,Done refresh list
Refresh,2021-04-25 00:01:19,TableStudents,Done refresh list
Refresh,2021-04-25 00:01:19,TableNotes,Done refresh list
add,2021-04-25 00:07:06,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:07:06,TableSpecialization,Add FILO in list
add,2021-04-25 00:07:06,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:07:06,TableSpecialization,Done
Refresh,2021-04-25 00:07:06,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:07:06,TableStudents,Done refresh list
add,2021-04-25 00:07:06,TableSpecialization,Add MATEMATICA in list
add,2021-04-25 00:07:06,TableSpecialization,Add ROMANA in list
add,2021-04-25 00:07:06,TableSpecialization,Add ISTORIE in list
add,2021-04-25 00:07:06,TableSpecialization,Add GEOGRAFIE in list
add,2021-04-25 00:07:06,TableSpecialization,Add SOCIOLOGIE in list
Refresh,2021-04-25 00:07:06,TableCourseType,Done refresh list
Refresh,2021-04-25 00:07:06,TableStudents,Done refresh list
Refresh,2021-04-25 00:07:06,TableNotes,Done refresh list
SaveChanges,2021-04-25 00:07:11,TableNotes,Done save Note List 
SaveChanges,2021-04-25 00:07:11,TableNotes,Done save Note List 
SaveChanges,2021-04-25 00:07:23,TableNotes,Done save Note List 
add,2021-04-25 00:07:50,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:07:50,TableSpecialization,Add FILO in list
add,2021-04-25 00:07:50,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:07:50,TableSpecialization,Done
Refresh,2021-04-25 00:07:50,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:07:50,TableStudents,Done refresh list
add,2021-04-25 00:07:50,TableSpecialization,Add MATEMATICA in list
add,2021-04-25 00:07:50,TableSpecialization,Add ROMANA in list
add,2021-04-25 00:07:50,TableSpecialization,Add ISTORIE in list
add,2021-04-25 00:07:50,TableSpecialization,Add GEOGRAFIE in list
add,2021-04-25 00:07:50,TableSpecialization,Add SOCIOLOGIE in list
Refresh,2021-04-25 00:07:50,TableCourseType,Done refresh list
Refresh,2021-04-25 00:07:50,TableStudents,Done refresh list
Refresh,2021-04-25 00:07:50,TableNotes,Done refresh list
add,2021-04-25 00:09:35,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:09:35,TableSpecialization,Add FILO in list
add,2021-04-25 00:09:35,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:09:35,TableSpecialization,Done
Refresh,2021-04-25 00:09:35,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:09:35,TableStudents,Done refresh list
add,2021-04-25 00:09:35,TableSpecialization,Add MATEMATICA in list
add,2021-04-25 00:09:35,TableSpecialization,Add ROMANA in list
add,2021-04-25 00:09:35,TableSpecialization,Add ISTORIE in list
add,2021-04-25 00:09:35,TableSpecialization,Add GEOGRAFIE in list
add,2021-04-25 00:09:35,TableSpecialization,Add SOCIOLOGIE in list
Refresh,2021-04-25 00:09:35,TableCourseType,Done refresh list
Refresh,2021-04-25 00:09:35,TableStudents,Done refresh list
Refresh,2021-04-25 00:09:35,TableNotes,Done refresh list
SaveChanges,2021-04-25 00:09:42,TableNotes,Done save Note List 
add,2021-04-25 00:10:38,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:10:38,TableSpecialization,Add FILO in list
add,2021-04-25 00:10:38,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:10:38,TableSpecialization,Done
Refresh,2021-04-25 00:10:38,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:10:38,TableStudents,Done refresh list
add,2021-04-25 00:10:38,TableSpecialization,Add MATEMATICA in list
add,2021-04-25 00:10:38,TableSpecialization,Add ROMANA in list
add,2021-04-25 00:10:38,TableSpecialization,Add ISTORIE in list
add,2021-04-25 00:10:38,TableSpecialization,Add GEOGRAFIE in list
add,2021-04-25 00:10:38,TableSpecialization,Add SOCIOLOGIE in list
Refresh,2021-04-25 00:10:38,TableCourseType,Done refresh list
Refresh,2021-04-25 00:10:38,TableStudents,Done refresh list
Refresh,2021-04-25 00:10:38,TableNotes,Done refresh list
SaveChanges,2021-04-25 00:10:41,TableNotes,Done save Note List 
SaveChanges,2021-04-25 00:10:42,TableNotes,Done save Note List 
add,2021-04-25 00:10:49,TableSpecialization,Add MATEMATICA INFORMATICA in list
add,2021-04-25 00:10:49,TableSpecialization,Add FILO in list
add,2021-04-25 00:10:49,TableSpecialization,Add STINTE SOCIALA in list
Refresh,2021-04-25 00:10:49,TableSpecialization,Done
Refresh,2021-04-25 00:10:49,TableSchoolClass,Done refresh list
Refresh,2021-04-25 00:10:49,TableStudents,Done refresh list
